commodity,day,hour,month,region,supply,timeslice,units_prices,year
electricity,all-week,night,all-year,R1,0.39500000000,0,MUS$2010/PJ,2028
gas,all-week,night,all-year,R1,0.63930000000,0,MUS$2010/PJ,2028
heat,all-week,night,all-year,R1,1.07330000000,0,MUS$2010/PJ,2028
CO2f,all-week,night,all-year,R1,35.18150000000,0,MUS$2010/kt,2028
electricity,all-week,morning,all-year,R1,0.56430000000,1,MUS$2010/PJ,2028
gas,all-week,morning,all-year,R1,0.91330000000,1,MUS$2010/PJ,2028
heat,all-week,morning,all-year,R1,1.53330000000,1,MUS$2010/PJ,2028
CO2f,all-week,morning,all-year,R1,50.25930000000,1,MUS$2010/kt,2028
electricity,all-week,mid-afternoon,all-year,R1,0.39500000000,2,MUS$2010/PJ,2028
gas,all-week,mid-afternoon,all-year,R1,0.63930000000,2,MUS$2010/PJ,2028
heat,all-week,mid-afternoon,all-year,R1,1.07330000000,2,MUS$2010/PJ,2028
CO2f,all-week,mid-afternoon,all-year,R1,35.18150000000,2,MUS$2010/kt,2028
electricity,all-week,early-peak,all-year,R1,0.56430000000,3,MUS$2010/PJ,2028
gas,all-week,early-peak,all-year,R1,0.91330000000,3,MUS$2010/PJ,2028
heat,all-week,early-peak,all-year,R1,1.53330000000,3,MUS$2010/PJ,2028
CO2f,all-week,early-peak,all-year,R1,50.25930000000,3,MUS$2010/kt,2028
electricity,all-week,late-peak,all-year,R1,1.18500000000,4,MUS$2010/PJ,2028
gas,all-week,late-peak,all-year,R1,1.91790000000,4,MUS$2010/PJ,2028
heat,all-week,late-peak,all-year,R1,3.22000000000,4,MUS$2010/PJ,2028
CO2f,all-week,late-peak,all-year,R1,105.54450000000,4,MUS$2010/kt,2028
electricity,all-week,evening,all-year,R1,0.79000000000,5,MUS$2010/PJ,2028
gas,all-week,evening,all-year,R1,1.27860000000,5,MUS$2010/PJ,2028
heat,all-week,evening,all-year,R1,2.14670000000,5,MUS$2010/PJ,2028
CO2f,all-week,evening,all-year,R1,70.36300000000,5,MUS$2010/kt,2028
electricity,all-week,early-morning,all-year,R1,0.79000000000,6,MUS$2010/PJ,2028
gas,all-week,early-morning,all-year,R1,1.27860000000,6,MUS$2010/PJ,2028
heat,all-week,early-morning,all-year,R1,2.14670000000,6,MUS$2010/PJ,2028
CO2f,all-week,early-morning,all-year,R1,70.36300000000,6,MUS$2010/kt,2028
electricity,all-week,late-afternoon,all-year,R1,0.79000000000,7,MUS$2010/PJ,2028
gas,all-week,late-afternoon,all-year,R1,1.27860000000,7,MUS$2010/PJ,2028
heat,all-week,late-afternoon,all-year,R1,2.14670000000,7,MUS$2010/PJ,2028
CO2f,all-week,late-afternoon,all-year,R1,70.36300000000,7,MUS$2010/kt,2028
electricity,all-week,night,all-year,R1,0.46670000000,0,MUS$2010/PJ,2030
