,timeslice,commodity,region,installed,technology,year,agent,category,sector,supply
99,"('all-year', 'all-week', 'night')",gas,R1,2020.00000000000,windturbine,2020.00000000000,A1,retrofit,power,0.00000000000
100,"('all-year', 'all-week', 'night')",CO2f,R1,2020.00000000000,gasCCGT,2020.00000000000,A1,retrofit,power,0.00000000000
101,"('all-year', 'all-week', 'night')",CO2f,R1,2020.00000000000,windturbine,2020.00000000000,A1,retrofit,power,0.00000000000
102,"('all-year', 'all-week', 'night')",wind,R1,2020.00000000000,gasCCGT,2020.00000000000,A1,retrofit,power,0.00000000000
103,"('all-year', 'all-week', 'night')",wind,R1,2020.00000000000,windturbine,2020.00000000000,A1,retrofit,power,0.00000000000
104,"('all-year', 'all-week', 'morning')",electricity,R1,2020.00000000000,gasCCGT,2020.00000000000,A1,retrofit,power,0.00000000000
105,"('all-year', 'all-week', 'morning')",electricity,R1,2020.00000000000,windturbine,2020.00000000000,A1,retrofit,power,0.00000000000
106,"('all-year', 'all-week', 'morning')",gas,R1,2020.00000000000,gasCCGT,2020.00000000000,A1,retrofit,power,0.00000000000
107,"('all-year', 'all-week', 'morning')",gas,R1,2020.00000000000,windturbine,2020.00000000000,A1,retrofit,power,0.00000000000
108,"('all-year', 'all-week', 'morning')",CO2f,R1,2020.00000000000,gasCCGT,2020.00000000000,A1,retrofit,power,0.00000000000
109,"('all-year', 'all-week', 'morning')",CO2f,R1,2020.00000000000,windturbine,2020.00000000000,A1,retrofit,power,0.00000000000
110,"('all-year', 'all-week', 'morning')",wind,R1,2020.00000000000,gasCCGT,2020.00000000000,A1,retrofit,power,0.00000000000
111,"('all-year', 'all-week', 'morning')",wind,R1,2020.00000000000,windturbine,2020.00000000000,A1,retrofit,power,0.00000000000
112,"('all-year', 'all-week', 'afternoon')",electricity,R1,2020.00000000000,gasCCGT,2020.00000000000,A1,retrofit,power,0.00000000000
113,"('all-year', 'all-week', 'afternoon')",electricity,R1,2020.00000000000,windturbine,2020.00000000000,A1,retrofit,power,0.00000000000
114,"('all-year', 'all-week', 'afternoon')",gas,R1,2020.00000000000,gasCCGT,2020.00000000000,A1,retrofit,power,0.00000000000
115,"('all-year', 'all-week', 'afternoon')",gas,R1,2020.00000000000,windturbine,2020.00000000000,A1,retrofit,power,0.00000000000
116,"('all-year', 'all-week', 'afternoon')",CO2f,R1,2020.00000000000,gasCCGT,2020.00000000000,A1,retrofit,power,0.00000000000
117,"('all-year', 'all-week', 'afternoon')",CO2f,R1,2020.00000000000,windturbine,2020.00000000000,A1,retrofit,power,0.00000000000
118,"('all-year', 'all-week', 'afternoon')",wind,R1,2020.00000000000,gasCCGT,2020.00000000000,A1,retrofit,power,0.00000000000
119,"('all-year', 'all-week', 'afternoon')",wind,R1,2020.00000000000,windturbine,2020.00000000000,A1,retrofit,power,0.00000000000
120,"('all-year', 'all-week', 'early-peak')",electricity,R1,2020.00000000000,gasCCGT,2020.00000000000,A1,retrofit,power,0.00000000000
121,"('all-year', 'all-week', 'early-peak')",electricity,R1,2020.00000000000,windturbine,2020.00000000000,A1,retrofit,power,0.00000000000
122,"('all-year', 'all-week', 'early-peak')",gas,R1,2020.00000000000,gasCCGT,2020.00000000000,A1,retrofit,power,0.00000000000
123,"('all-year', 'all-week', 'early-peak')",gas,R1,2020.00000000000,windturbine,2020.00000000000,A1,retrofit,power,0.00000000000
124,"('all-year', 'all-week', 'early-peak')",CO2f,R1,2020.00000000000,gasCCGT,2020.00000000000,A1,retrofit,power,0.00000000000
125,"('all-year', 'all-week', 'early-peak')",CO2f,R1,2020.00000000000,windturbine,2020.00000000000,A1,retrofit,power,0.00000000000
126,"('all-year', 'all-week', 'early-peak')",wind,R1,2020.00000000000,gasCCGT,2020.00000000000,A1,retrofit,power,0.00000000000
127,"('all-year', 'all-week', 'early-peak')",wind,R1,2020.00000000000,windturbine,2020.00000000000,A1,retrofit,power,0.00000000000
128,"('all-year', 'all-week', 'late-peak')",electricity,R1,2020.00000000000,gasCCGT,2020.00000000000,A1,retrofit,power,0.00000000000
129,"('all-year', 'all-week', 'late-peak')",electricity,R1,2020.00000000000,windturbine,2020.00000000000,A1,retrofit,power,0.00000000000
130,"('all-year', 'all-week', 'late-peak')",gas,R1,2020.00000000000,gasCCGT,2020.00000000000,A1,retrofit,power,0.00000000000
131,"('all-year', 'all-week', 'late-peak')",gas,R1,2020.00000000000,windturbine,2020.00000000000,A1,retrofit,power,0.00000000000
132,"('all-year', 'all-week', 'late-peak')",CO2f,R1,2020.00000000000,gasCCGT,2020.00000000000,A1,retrofit,power,0.00000000000
133,"('all-year', 'all-week', 'late-peak')",CO2f,R1,2020.00000000000,windturbine,2020.00000000000,A1,retrofit,power,0.00000000000
134,"('all-year', 'all-week', 'late-peak')",wind,R1,2020.00000000000,gasCCGT,2020.00000000000,A1,retrofit,power,0.00000000000
135,"('all-year', 'all-week', 'late-peak')",wind,R1,2020.00000000000,windturbine,2020.00000000000,A1,retrofit,power,0.00000000000
136,"('all-year', 'all-week', 'evening')",electricity,R1,2020.00000000000,gasCCGT,2020.00000000000,A1,retrofit,power,0.00000000000
137,"('all-year', 'all-week', 'evening')",electricity,R1,2020.00000000000,windturbine,2020.00000000000,A1,retrofit,power,0.00000000000
138,"('all-year', 'all-week', 'evening')",gas,R1,2020.00000000000,gasCCGT,2020.00000000000,A1,retrofit,power,0.00000000000
139,"('all-year', 'all-week', 'evening')",gas,R1,2020.00000000000,windturbine,2020.00000000000,A1,retrofit,power,0.00000000000
140,"('all-year', 'all-week', 'evening')",CO2f,R1,2020.00000000000,gasCCGT,2020.00000000000,A1,retrofit,power,0.00000000000
141,"('all-year', 'all-week', 'evening')",CO2f,R1,2020.00000000000,windturbine,2020.00000000000,A1,retrofit,power,0.00000000000
142,"('all-year', 'all-week', 'evening')",wind,R1,2020.00000000000,gasCCGT,2020.00000000000,A1,retrofit,power,0.00000000000
143,"('all-year', 'all-week', 'evening')",wind,R1,2020.00000000000,windturbine,2020.00000000000,A1,retrofit,power,0.00000000000
144,"('all-year', 'all-week', 'night')",gas,R1,2020.00000000000,gassupply1,2020.00000000000,A1,retrofit,gas,1.16000000000
145,"('all-year', 'all-week', 'night')",CO2f,R1,2020.00000000000,gassupply1,2020.00000000000,A1,retrofit,gas,1.77596254852
146,"('all-year', 'all-week', 'morning')",gas,R1,2020.00000000000,gassupply1,2020.00000000000,A1,retrofit,gas,1.74000000000
147,"('all-year', 'all-week', 'morning')",CO2f,R1,2020.00000000000,gassupply1,2020.00000000000,A1,retrofit,gas,2.66394382278
148,"('all-year', 'all-week', 'afternoon')",gas,R1,2020.00000000000,gassupply1,2020.00000000000,A1,retrofit,gas,1.16000000000
149,"('all-year', 'all-week', 'afternoon')",CO2f,R1,2020.00000000000,gassupply1,2020.00000000000,A1,retrofit,gas,1.77596254852
150,"('all-year', 'all-week', 'early-peak')",gas,R1,2020.00000000000,gassupply1,2020.00000000000,A1,retrofit,gas,1.74000000000
151,"('all-year', 'all-week', 'early-peak')",CO2f,R1,2020.00000000000,gassupply1,2020.00000000000,A1,retrofit,gas,2.66394382278
152,"('all-year', 'all-week', 'late-peak')",gas,R1,2020.00000000000,gassupply1,2020.00000000000,A1,retrofit,gas,3.48000000000
153,"('all-year', 'all-week', 'late-peak')",CO2f,R1,2020.00000000000,gassupply1,2020.00000000000,A1,retrofit,gas,5.32788764556
154,"('all-year', 'all-week', 'evening')",gas,R1,2020.00000000000,gassupply1,2020.00000000000,A1,retrofit,gas,2.32000000000
155,"('all-year', 'all-week', 'evening')",CO2f,R1,2020.00000000000,gassupply1,2020.00000000000,A1,retrofit,gas,3.55192509704
156,"('all-year', 'all-week', 'night')",electricity,R1,2020.00000000000,gasboiler,2025.00000000000,A1,retrofit,residential,0.00000000000
157,"('all-year', 'all-week', 'night')",electricity,R1,2020.00000000000,heatpump,2025.00000000000,A1,retrofit,residential,0.00000000000
158,"('all-year', 'all-week', 'night')",electricity,R1,2025.00000000000,gasboiler,2025.00000000000,A1,retrofit,residential,0.00000000000
159,"('all-year', 'all-week', 'night')",gas,R1,2020.00000000000,gasboiler,2025.00000000000,A1,retrofit,residential,0.00000000000
160,"('all-year', 'all-week', 'night')",gas,R1,2020.00000000000,heatpump,2025.00000000000,A1,retrofit,residential,0.00000000000
161,"('all-year', 'all-week', 'night')",gas,R1,2025.00000000000,gasboiler,2025.00000000000,A1,retrofit,residential,0.00000000000
162,"('all-year', 'all-week', 'night')",heat,R1,2020.00000000000,gasboiler,2025.00000000000,A1,retrofit,residential,0.46550000000
163,"('all-year', 'all-week', 'night')",heat,R1,2020.00000000000,heatpump,2025.00000000000,A1,retrofit,residential,0.29283333333
164,"('all-year', 'all-week', 'night')",heat,R1,2025.00000000000,gasboiler,2025.00000000000,A1,retrofit,residential,0.00000000000
165,"('all-year', 'all-week', 'night')",CO2f,R1,2020.00000000000,gasboiler,2025.00000000000,A1,retrofit,residential,30.12250500000
166,"('all-year', 'all-week', 'night')",CO2f,R1,2020.00000000000,heatpump,2025.00000000000,A1,retrofit,residential,0.00000000000
167,"('all-year', 'all-week', 'night')",CO2f,R1,2025.00000000000,gasboiler,2025.00000000000,A1,retrofit,residential,0.00000000000
168,"('all-year', 'all-week', 'morning')",electricity,R1,2020.00000000000,gasboiler,2025.00000000000,A1,retrofit,residential,0.00000000000
169,"('all-year', 'all-week', 'morning')",electricity,R1,2020.00000000000,heatpump,2025.00000000000,A1,retrofit,residential,0.00000000000
170,"('all-year', 'all-week', 'morning')",electricity,R1,2025.00000000000,gasboiler,2025.00000000000,A1,retrofit,residential,0.00000000000
171,"('all-year', 'all-week', 'morning')",gas,R1,2020.00000000000,gasboiler,2025.00000000000,A1,retrofit,residential,0.00000000000
172,"('all-year', 'all-week', 'morning')",gas,R1,2020.00000000000,heatpump,2025.00000000000,A1,retrofit,residential,0.00000000000
