commodity,day,hour,month,prices,region,timeslice,units_prices,year
CO2f,all-week,afternoon,all-year,0.4351,r1,2,MUS$2010/kt,2050
cook,all-week,afternoon,all-year,6.8036,r1,2,MUS$2010/PJ,2050
electricity,all-week,early-peak,all-year,11.5501,r1,3,MUS$2010/PJ,2050
gas,all-week,early-peak,all-year,2.5500,r1,3,MUS$2010/PJ,2050
heat,all-week,early-peak,all-year,7.2175,r1,3,MUS$2010/PJ,2050
wind,all-week,early-peak,all-year,0.0000,r1,3,MUS$2010/PJ,2050
CO2f,all-week,early-peak,all-year,0.4351,r1,3,MUS$2010/kt,2050
cook,all-week,early-peak,all-year,7.2175,r1,3,MUS$2010/PJ,2050
electricity,all-week,late-peak,all-year,30.3147,r1,4,MUS$2010/PJ,2050
gas,all-week,late-peak,all-year,2.5500,r1,4,MUS$2010/PJ,2050
heat,all-week,late-peak,all-year,14.7233,r1,4,MUS$2010/PJ,2050
wind,all-week,late-peak,all-year,0.0000,r1,4,MUS$2010/PJ,2050
CO2f,all-week,late-peak,all-year,0.4351,r1,4,MUS$2010/kt,2050
cook,all-week,late-peak,all-year,14.7233,r1,4,MUS$2010/PJ,2050
electricity,all-week,evening,all-year,16.9280,r1,5,MUS$2010/PJ,2050
gas,all-week,evening,all-year,2.5500,r1,5,MUS$2010/PJ,2050
heat,all-week,evening,all-year,9.3686,r1,5,MUS$2010/PJ,2050
wind,all-week,evening,all-year,0.0000,r1,5,MUS$2010/PJ,2050
CO2f,all-week,evening,all-year,0.4351,r1,5,MUS$2010/kt,2050
cook,all-week,evening,all-year,9.3686,r1,5,MUS$2010/PJ,2050
